arrival_time,length,ram_req,bw_req,task_id
911,4531,2048,277,144
442,4758,2048,1511,145
620,2966,1024,870,146
572,3275,512,583,147
249,3991,256,1877,148
647,1253,4096,825,149
27,982,4096,1920,150
297,4196,512,1647,151
639,4682,2048,610,152
440,1601,1024,1787,153
218,3575,1024,1164,154
629,732,4096,1088,155
14,1024,512,1786,156
728,1353,512,1692,157
587,1146,512,1759,158
691,4786,4096,982,159
516,4203,2048,1418,160
882,1820,256,367,161
254,2128,4096,1883,162
523,3276,256,1577,163
852,3211,4096,541,164
84,1114,512,1215,165
782,2913,4096,273,166
928,3921,512,1874,167
634,1590,1024,1654,168
26,3033,4096,1589,169
972,4058,1024,496,170
994,2215,256,175,171
742,1257,512,326,172
126,3004,256,1191,173
61,4879,1024,605,174
463,3026,4096,1763,175
851,1157,1024,1439,176
123,4940,512,163,177
620,607,2048,1982,178
446,3836,1024,705,179
585,1368,256,828,180
241,2916,4096,701,181
208,1970,256,682,182
704,542,4096,137,183
864,2613,512,697,184
91,1767,256,1422,185
271,2030,512,1141,186
65,4045,4096,1070,187
572,2652,1024,1010,188
178,2248,256,1151,189
458,2635,4096,1171,190
539,1169,256,976,191
838,2502,256,324,192
724,4396,4096,171,193
11,4902,1024,755,194
37,805,2048,677,195
133,2040,4096,1520,196
788,2666,256,1863,197
158,1317,256,1477,198
996,1859,4096,120,199
808,4353,4096,1159,200
743,4235,4096,153,201
408,1991,512,1771,202
965,1229,256,451,203
746,918,1024,1887,204
675,3865,256,1252,205
711,4219,256,69,206
266,4583,2048,624,207
659,1163,4096,1268,208
678,2334,512,726,209
673,2307,4096,1110,210
27,1500,1024,1982,211
218,2688,512,1239,212
611,4894,4096,1724,213
245,3875,256,237,214
41,1773,4096,1966,215
49,4889,4096,1505,216
931,2132,4096,597,217
655,2137,4096,148,218
640,3227,4096,1482,219
348,605,256,411,220
422,3796,512,1374,221
358,940,256,714,222
185,3195,2048,154,223
15,4400,4096,1697,224
664,3052,2048,234,225
394,2503,2048,1717,226
961,2322,512,887,227
518,1056,2048,967,228
468,2894,4096,1598,229
846,788,2048,965,230
719,2694,4096,1237,231
407,3571,2048,800,232
56,2475,512,917,233
640,1571,1024,355,234
133,3539,256,1619,235
605,1410,512,1876,236
735,1075,4096,1715,237
293,539,1024,1133,238
499,3420,256,184,239
20,3645,512,814,240
371,841,4096,416,241
478,3697,1024,1637,242
983,2580,1024,705,243
529,4551,1024,1838,244
626,4101,256,952,245
593,1599,256,376,246
122,4562,512,434,247
540,2218,2048,309,248
495,640,512,1853,249
743,1749,512,479,250
279,3499,2048,405,251
940,1884,1024,1713,252
957,3700,4096,1586,253
23,1333,256,680,254
789,4191,2048,1667,255
203,3567,4096,677,256
127,1708,4096,341,257
953,3936,512,1052,258
536,2861,256,269,259
730,568,2048,964,260
113,1274,1024,564,261
343,1360,2048,957,262
741,1213,1024,1812,263
506,530,256,1148,264
903,2739,256,1127,265
801,4172,2048,241,266
105,2497,256,1505,267
683,1183,4096,1120,268
116,4330,512,1597,269
127,2301,1024,1554,270
279,1976,2048,1311,271
710,1217,4096,522,272
671,1427,2048,1609,273
465,2059,256,1047,274
851,768,2048,950,275
448,664,4096,1530,276
549,4197,1024,875,277
932,2105,1024,1853,278
145,4823,1024,1756,279
368,2887,2048,1253,280
283,3504,256,737,281
281,766,512,881,282
469,618,1024,54,283
951,1270,1024,736,284
49,4103,4096,1942,285
460,2382,512,1185,286
530,4020,2048,955,287
333,1785,4096,1698,288
4,4392,2048,985,289
620,2937,1024,1469,290
549,2153,512,1086,291
253,3857,2048,1761,292
855,2067,512,141,293
26,2716,512,433,294
481,3314,512,437,295
743,3307,2048,1825,296
478,2919,1024,1082,297
792,3248,1024,262,298
967,3620,512,1292,299
970,2035,4096,1472,300
615,3009,256,851,301
787,2345,2048,134,302
420,705,2048,1322,303
934,2437,2048,1727,304
693,3129,4096,830,305
540,1062,512,1633,306
370,4605,512,461,307
716,3260,512,938,308
503,974,512,604,309
185,1471,4096,949,310
394,3333,256,1797,311
635,4635,1024,1525,312
629,667,2048,1053,313
707,4013,4096,1390,314
358,3465,512,978,315
560,4492,1024,1645,316
623,2146,512,534,317
691,4444,4096,1621,318
360,1898,256,1475,319
686,732,4096,728,320
918,3327,2048,520,321
950,951,256,605,322
13,3261,4096,616,323
878,2369,256,131,324
45,737,1024,1283,325
808,1138,4096,1828,326
516,4618,256,1456,327
687,3866,512,703,328
658,1445,4096,1845,329
648,812,512,1144,330
618,2203,2048,1083,331
883,1155,2048,1214,332
98,594,4096,1009,333
2,1349,1024,1926,334
590,2576,4096,222,335
979,1974,4096,702,336
494,1425,2048,1615,337
215,2281,512,273,338
737,1061,4096,152,339
102,1179,512,1666,340
872,1211,512,54,341
349,601,512,804,342
498,4126,256,1470,343
283,4886,256,1734,344
139,4602,256,754,345
516,2624,1024,1538,346
475,4574,4096,1292,347
749,1675,256,1462,348
738,1795,4096,1271,349
819,3996,4096,1674,350
933,3932,4096,761,351
49,2079,512,1874,352
35,4018,512,1277,353
803,4698,2048,138,354
732,887,512,1678,355
544,3497,4096,311,356
175,1332,1024,1469,357
652,841,256,1768,358
688,2739,256,59,359
315,1728,512,1392,360
598,3233,512,1352,361
612,3282,512,170,362
452,966,256,1244,363
396,1095,256,1840,364
555,2300,512,198,365
593,4764,4096,981,366
887,1145,256,590,367
396,4875,4096,922,368
633,4523,256,1633,369
781,1943,256,1291,370
116,3689,512,65,371
212,4346,4096,772,372
55,2012,1024,196,373
2,638,2048,536,374
966,1947,4096,1803,375
273,1833,256,484,376
480,954,256,1211,377
488,3122,256,1862,378
115,2062,256,316,379
530,635,256,1777,380
7,2272,512,1516,381
226,1108,2048,812,382
361,3130,1024,1444,383
34,1530,1024,1101,384
806,4013,512,822,385
447,2792,1024,1793,386
724,2240,2048,254,387
254,745,1024,62,388
796,4145,256,1342,389
42,3199,256,462,390
446,4402,256,1645,391
597,4969,256,866,392
17,4899,256,1926,393
554,4579,1024,1260,394
696,3958,2048,553,395
956,2091,2048,1900,396
815,1020,2048,1894,397
23,1137,1024,1256,398
706,1285,2048,1768,399
72,4726,1024,1550,400
276,1744,256,640,401
937,4847,4096,1173,402
190,3916,1024,166,403
964,1693,512,1507,404
904,3812,256,1682,405
455,2680,1024,880,406
611,4370,256,1131,407
610,4671,1024,1497,408
254,1757,1024,146,409
204,898,1024,1910,410
257,1091,512,857,411
531,2148,256,1299,412
901,3354,4096,1975,413
854,3611,4096,385,414
724,642,4096,1680,415
311,3441,2048,807,416
672,4589,256,632,417
819,3391,256,1933,418
485,2716,1024,1411,419
663,568,4096,313,420
149,3720,4096,1897,421
457,1864,256,1821,422
705,3176,4096,1324,423
588,3828,1024,720,424
45,2183,512,1462,425
385,1369,512,222,426
330,4913,1024,430,427
733,1219,4096,1921,428
950,1131,512,1063,429
916,4648,2048,476,430
653,2121,1024,331,431
868,4587,512,1188,432
381,3185,256,1626,433
803,2467,256,182,434
783,766,2048,1995,435
27,4298,256,1290,436
375,3935,512,1511,437
745,1846,1024,1706,438
28,4773,1024,1491,439
131,4251,1024,1894,440
997,3632,1024,844,441
404,2556,4096,414,442
576,3974,256,1119,443
8,4818,2048,1179,444
373,3764,512,688,445
28,1938,4096,1831,446
589,2374,512,1585,447
810,1941,2048,536,448
991,1193,4096,1104,449
92,4203,2048,1387,450
478,947,256,1114,451
98,4971,512,1182,452
29,2056,512,95,453
265,3459,256,1388,454
573,2736,2048,714,455
164,1188,2048,1580,456
792,777,2048,271,457
69,4322,1024,1973,458
642,4758,512,1050,459
152,1502,256,241,460
711,2500,512,1716,461
330,1183,4096,1699,462
984,2201,2048,1087,463
485,2455,2048,1955,464
364,3418,1024,1922,465
705,3432,4096,593,466
473,1472,256,1894,467
179,2587,256,1597,468
27,2260,4096,1813,469
585,1180,2048,460,470
45,3926,512,453,471
430,2357,512,278,472
864,891,2048,282,473
518,2983,1024,846,474
640,2648,256,288,475
472,4565,512,1197,476
962,2364,512,1220,477
647,2775,512,1703,478
351,2423,256,1067,479
780,1865,2048,1246,480
858,3116,256,1174,481
454,3031,4096,763,482
171,3157,4096,810,483
950,565,4096,896,484
629,1932,2048,1229,485
626,4625,512,1228,486
862,4282,2048,825,487
364,986,256,1917,488
478,2725,256,1283,489
125,4644,256,580,490
53,2801,512,516,491
516,2904,4096,1715,492
680,3568,512,1388,493
968,2482,4096,492,494
684,3832,256,1073,495
180,2231,2048,853,496
99,1000,256,604,497
260,3075,512,1286,498
822,2943,1024,745,499
533,4064,1024,448,500
28,4853,1024,799,501
776,4590,2048,1940,502
173,2099,256,404,503
881,4606,256,1947,504
698,2990,4096,1780,505
250,2358,4096,1100,506
844,4139,256,770,507
8,4760,512,89,508
635,3799,4096,1894,509
563,1487,2048,81,510
892,3463,1024,1457,511
133,2393,2048,1391,512
296,1631,1024,148,513
427,1968,256,212,514
671,2959,4096,1661,515
545,839,1024,1109,516
227,979,256,1088,517
860,885,512,151,518
163,2340,4096,1702,519
927,3275,512,651,520
64,2537,2048,1168,521
608,2066,4096,208,522
59,3559,256,600,523
994,3138,2048,1362,524
744,3431,512,1139,525
468,2609,256,210,526
291,4086,1024,1524,527
898,3094,256,984,528
804,1988,512,532,529
881,3406,1024,1922,530
466,3322,4096,1038,531
275,2983,4096,219,532
962,3901,1024,518,533
305,1675,512,1080,534
327,979,2048,544,535
996,724,2048,344,536
977,1719,1024,1885,537
361,4021,256,809,538
532,4689,2048,902,539
929,4432,1024,1399,540
563,3374,1024,160,541
161,1249,256,438,542
190,1230,512,113,543
960,894,512,877,544
30,3237,512,661,545
59,3336,512,1886,546
768,4960,256,873,547
392,3441,512,1099,548
441,4123,256,1046,549
61,2990,2048,972,550
207,2976,2048,210,551
390,2008,1024,794,552
552,1634,512,1271,553
856,4974,512,1340,554
818,2070,256,616,555
374,4498,2048,1836,556
85,4829,256,1888,557
216,3847,2048,459,558
652,4621,512,1170,559
604,3878,1024,1005,560
968,4742,512,1496,561
901,777,512,1990,562
630,3780,512,803,563
868,4835,4096,144,564
397,2789,512,509,565
796,698,4096,63,566
420,1601,2048,386,567
28,3129,256,237,568
799,1850,1024,584,569
708,2995,2048,1165,570
200,4905,2048,649,571
657,844,4096,1886,572
550,2387,512,1356,573
491,1285,1024,1708,574
539,4156,256,1839,575
762,1250,256,1070,576
940,565,1024,1664,577
50,1257,2048,603,578
778,3676,4096,738,579
802,3925,512,150,580
470,3515,4096,827,581
299,2086,1024,1467,582
680,1201,2048,775,583
859,944,2048,386,584
399,1733,4096,1831,585
304,4611,512,1158,586
627,4626,512,458,587
590,4380,512,628,588
507,3525,4096,1452,589
553,2906,256,462,590
737,3083,4096,1851,591
572,2895,1024,1009,592
603,3710,256,225,593
543,1946,512,360,594
540,3090,256,1348,595
821,3916,4096,1848,596
292,2005,1024,1415,597
283,1536,1024,596,598
274,2111,512,1704,599
464,591,2048,1284,600
719,2899,4096,385,601
909,4352,1024,933,602
506,4637,256,214,603
835,3853,512,784,604
148,1555,512,285,605
809,4202,4096,1847,606
975,4379,1024,1846,607
47,2669,256,307,608
564,2219,2048,1936,609
786,1148,1024,208,610
957,3511,512,1934,611
478,4364,1024,944,612
767,1885,4096,271,613
999,4635,4096,532,614
546,3007,2048,643,615
729,566,1024,329,616
609,920,256,1731,617
248,4492,512,414,618
450,1492,256,592,619
730,1350,512,458,620
847,4184,2048,1205,621
91,1391,512,1402,622
813,2973,512,1135,623
91,1300,512,1534,624
700,3717,4096,1455,625
784,1669,4096,499,626
865,4149,512,219,627
898,832,512,1524,628
556,772,1024,1421,629
419,4237,1024,91,630
713,1437,512,1852,631
518,3135,256,331,632
697,4286,2048,1470,633
934,1955,1024,1063,634
988,4264,512,1370,635
36,2698,256,1112,636
504,905,512,524,637
195,1065,4096,1836,638
493,1105,256,1621,639
719,3173,4096,627,640
638,4183,4096,1251,641
474,1079,4096,61,642
338,2107,4096,1507,643
897,3904,1024,1040,644
438,1268,512,735,645
765,4155,256,1139,646
356,4487,4096,1422,647
880,3183,2048,784,648
136,3463,256,1837,649
303,1193,256,1389,650
457,3234,256,1830,651
610,1872,256,1267,652
208,1358,512,1210,653
358,1570,256,1462,654
770,3824,4096,318,655
619,3131,4096,214,656
279,2189,1024,313,657
700,3851,4096,1124,658
593,2100,1024,297,659
88,3299,512,1607,660
334,4189,4096,1512,661
591,4239,512,1575,662
706,714,1024,1203,663
432,4601,4096,499,664
312,3859,256,842,665
985,1677,512,1641,666
822,4103,4096,1961,667
400,1181,4096,1296,668
365,3365,512,798,669
175,3385,4096,656,670
499,3988,1024,296,671
9,787,512,1169,672
906,719,512,326,673
535,4079,4096,1826,674
944,3411,512,1890,675
199,3256,1024,1364,676
263,4164,4096,172,677
754,4118,4096,559,678
688,4917,4096,241,679
968,3864,4096,1149,680
677,624,1024,326,681
669,1506,2048,94,682
75,1535,1024,1975,683
449,2664,256,95,684
382,4095,2048,911,685
270,933,512,1293,686
799,3992,4096,1983,687
931,1552,4096,1725,688
928,3893,2048,1017,689
740,2292,512,1764,690
595,664,4096,1933,691
312,689,2048,1550,692
333,3342,1024,1750,693
855,668,4096,731,694
121,4314,512,1095,695
860,2198,512,211,696
18,1834,4096,531,697
623,2514,1024,1261,698
303,600,2048,840,699
4,2395,256,1099,700
398,1288,512,1181,701
424,2099,256,1525,702
690,1257,256,185,703
353,4678,1024,285,704
19,3195,1024,849,705
55,1632,256,685,706
107,1494,4096,1927,707
333,4732,512,801,708
696,1328,512,1320,709
64,2697,1024,1479,710
875,2595,1024,1513,711
57,4598,256,1679,712
527,1430,512,1923,713
78,1782,2048,1196,714
596,3181,256,975,715
271,1039,2048,1303,716
959,3327,256,1167,717
171,4919,1024,819,718
560,2087,1024,1661,719
974,1407,512,1660,720
550,2294,4096,722,721
685,4068,4096,724,722
525,1103,1024,716,723
219,998,1024,477,724
792,1937,512,1379,725
829,1504,2048,1761,726
921,4802,512,460,727
51,2125,4096,590,728
495,877,4096,444,729
922,1942,2048,771,730
44,2734,256,1047,731
860,2911,256,512,732
708,2682,1024,702,733
707,2522,256,1363,734
8,3496,1024,1474,735
487,4264,4096,422,736
535,4209,4096,1560,737
79,3290,2048,1864,738
874,1415,4096,1165,739
336,1231,2048,821,740
887,2258,256,392,741
463,640,512,1555,742
452,583,4096,1132,743
271,1430,1024,190,744
350,4230,1024,730,745
719,845,512,1057,746
103,3463,2048,1341,747
181,1929,512,1141,748
477,4142,2048,1856,749
816,3443,4096,1310,750
175,3982,1024,288,751
27,517,512,1450,752
868,4780,4096,1021,753
275,1599,2048,1068,754
76,833,512,1685,755
933,4081,4096,1057,756
48,3019,2048,576,757
27,3185,2048,425,758
390,1586,256,1496,759
471,3361,2048,860,760
248,1170,512,1194,761
880,1124,256,551,762
168,4323,256,157,763
205,1994,512,633,764
276,1217,4096,427,765
517,2622,1024,822,766
191,2476,512,174,767
693,4797,1024,645,768
911,2291,256,1521,769
768,805,4096,542,770
460,3297,512,1273,771
784,1183,4096,448,772
155,1048,4096,1607,773
395,854,4096,1102,774
528,2962,4096,102,775
991,3379,256,1370,776
975,3007,4096,1718,777
669,2447,256,1420,778
365,2835,2048,329,779
129,4691,512,1274,780
443,2631,2048,212,781
773,3936,512,1892,782
20,1965,4096,534,783
389,2391,4096,941,784
670,4506,512,1025,785
316,1606,512,913,786
253,3763,2048,871,787
267,2513,256,1870,788
565,534,256,111,789
12,1808,2048,685,790
293,1165,4096,69,791
880,945,2048,1032,792
548,2221,4096,1199,793
755,2753,256,1272,794
731,903,4096,985,795
184,2317,2048,525,796
861,3046,4096,844,797
648,818,4096,1677,798
76,4610,1024,888,799
938,854,2048,557,800
183,4949,256,532,801
669,2077,1024,330,802
519,936,1024,1713,803
979,3130,2048,1344,804
634,885,4096,76,805
774,4619,4096,873,806
799,909,1024,907,807
458,4423,256,1255,808
694,2882,512,1863,809
999,4222,512,368,810
976,4876,512,1412,811
936,3790,4096,755,812
546,739,256,150,813
680,4116,4096,519,814
753,1466,256,932,815
257,3645,256,296,816
161,3711,256,143,817
150,3659,1024,1574,818
536,1115,1024,1806,819
482,2286,1024,1340,820
194,795,4096,708,821
219,983,512,1080,822
958,3534,256,1036,823
720,634,512,1503,824
221,4862,4096,1603,825
701,2103,2048,755,826
448,838,1024,487,827
575,646,512,307,828
937,627,512,287,829
212,3971,512,932,830
82,3284,2048,1322,831
893,2876,4096,640,832
75,4961,1024,1510,833
307,1527,4096,1373,834
143,3381,256,1203,835
615,3207,1024,987,836
255,1372,256,108,837
946,1194,512,882,838
364,983,1024,1296,839
271,1039,256,1851,840
799,3418,256,1273,841
623,1597,512,1671,842
622,2864,256,269,843
537,4331,512,1518,844
902,3846,4096,524,845
116,4189,512,816,846
42,4987,1024,124,847
146,4291,1024,950,848
173,2664,2048,1225,849
603,1996,256,387,850
320,3795,512,1033,851
463,2495,2048,1524,852
720,2717,1024,1228,853
365,4800,256,1276,854
377,4381,512,495,855
743,4140,1024,1825,856
218,2111,4096,121,857
600,575,4096,1503,858
236,730,512,1018,859
673,3065,2048,895,860
159,1821,4096,1815,861
863,3863,256,1418,862
811,524,256,57,863
508,2437,2048,1147,864
85,2547,512,1420,865
1,1413,256,1545,866
763,3484,2048,1161,867
745,3727,256,932,868
19,2861,4096,259,869
21,2201,256,435,870
633,4357,256,1585,871
151,1545,4096,429,872
998,2710,4096,843,873
251,3638,4096,641,874
154,2044,512,1045,875
977,1654,4096,648,876
695,853,512,529,877
175,2233,256,343,878
513,3382,4096,763,879
627,3184,4096,1233,880
242,4192,256,1930,881
377,2834,4096,470,882
807,2719,256,277,883
488,1979,512,1204,884
720,4346,256,980,885
203,2485,4096,1758,886
158,2126,1024,1541,887
455,4456,256,463,888
601,4906,512,858,889
398,4903,1024,1857,890
340,3776,256,315,891
498,1457,4096,671,892
286,3185,1024,1703,893
651,4236,4096,787,894
177,2636,256,1896,895
136,3266,1024,653,896
832,1666,1024,535,897
124,1484,4096,542,898
145,3434,1024,1511,899
703,1063,4096,1941,900
170,788,512,405,901
234,1133,2048,108,902
237,2616,1024,799,903
627,646,4096,324,904
416,1087,512,1088,905
536,2756,2048,685,906
123,4252,4096,1783,907
10,4523,1024,1553,908
502,1370,4096,270,909
142,3587,2048,1954,910
783,3438,1024,93,911
422,4193,2048,1843,912
205,716,1024,1609,913
871,2166,256,1174,914
437,4034,4096,1537,915
416,3463,512,902,916
628,3214,512,992,917
266,4410,512,252,918
464,3780,2048,1911,919
174,4250,1024,1320,920
679,4286,256,1823,921
158,1259,1024,518,922
652,4583,1024,1257,923
243,581,2048,1152,924
29,1265,2048,384,925
714,657,512,1473,926
397,3253,2048,1682,927
116,2979,256,197,928
388,2545,4096,275,929
89,2580,2048,1877,930
629,4336,512,1383,931
240,2716,2048,530,932
965,3954,256,79,933
532,4642,512,61,934
569,2748,2048,333,935
997,1954,4096,911,936
775,1302,256,1947,937
584,4163,1024,979,938
495,3792,1024,1044,939
66,3561,512,1428,940
832,5000,1024,406,941
94,4030,2048,1738,942
317,4806,512,1665,943
951,2599,4096,356,944
13,4432,256,403,945
202,2769,1024,897,946
828,3021,2048,721,947
387,3106,4096,648,948
779,4735,256,680,949
795,2680,2048,909,950
499,1072,1024,828,951
8,1420,4096,588,952
21,2211,4096,1765,953
108,2333,1024,1302,954
918,1414,4096,390,955
552,4714,2048,1332,956
199,2978,1024,1498,957
13,4144,1024,1356,958
775,2864,4096,1616,959
677,2722,1024,1010,960
600,2559,2048,1201,961
596,1973,256,745,962
186,3086,256,881,963
795,2688,256,1977,964
909,2185,4096,718,965
642,3199,256,1813,966
68,2921,512,1624,967
867,3236,4096,1050,968
39,2861,256,1359,969
848,2440,2048,1412,970
215,3959,4096,1922,971
674,566,4096,220,972
299,1604,4096,221,973
512,4175,256,782,974
231,1908,512,1777,975
932,4424,4096,1739,976
630,722,256,1123,977
500,1955,256,551,978
49,2787,512,603,979
565,4488,512,827,980
888,1262,256,559,981
413,1690,2048,465,982
480,897,2048,1420,983
771,2293,4096,235,984
557,4983,2048,158,985
311,1634,4096,1911,986
174,4854,256,1933,987
620,1537,256,1875,988
954,4194,4096,1356,989
758,2208,2048,1943,990
309,1223,4096,979,991
417,3297,2048,1372,992
191,3212,1024,1215,993
11,1453,512,364,994
317,2139,256,129,995
898,968,256,1475,996
310,1214,2048,700,997
957,2107,4096,540,998
715,1728,4096,896,999
169,1195,2048,1992,1000
125,3909,1024,955,1001
775,1224,1024,509,1002
102,2281,4096,1170,1003
969,3212,1024,832,1004
990,2254,256,492,1005
360,4995,1024,189,1006
749,1824,512,2000,1007
853,1920,512,1009,1008
23,3460,4096,1885,1009
100,1134,512,1309,1010
877,1663,4096,1564,1011
716,1876,4096,817,1012
666,4922,1024,1534,1013
146,3120,4096,194,1014
744,552,1024,1391,1015
377,3552,1024,1641,1016
536,3263,4096,342,1017
968,4870,256,394,1018
814,2924,256,1168,1019
468,1747,4096,1937,1020
584,2265,4096,752,1021
233,1293,4096,1695,1022
537,4801,256,433,1023
55,3413,256,307,1024
558,2920,2048,997,1025
67,1770,1024,1117,1026
842,757,2048,1852,1027
37,1650,1024,702,1028
806,3460,2048,1185,1029
732,4935,256,1348,1030
936,3440,256,1822,1031
931,1925,2048,1598,1032
968,2687,4096,774,1033
146,2228,1024,403,1034
905,1810,512,925,1035
369,4736,512,1457,1036
895,3586,512,541,1037
907,831,512,718,1038
4,2529,4096,1499,1039
908,4283,2048,383,1040
803,1084,4096,768,1041
442,4575,2048,1158,1042
845,3330,1024,120,1043
758,3389,512,914,1044
479,1365,256,502,1045
434,1412,2048,731,1046
258,2505,256,1795,1047
946,1020,1024,1112,1048
549,3734,256,63,1049
300,631,4096,758,1050
199,1705,1024,1370,1051
767,2171,256,952,1052
279,1703,1024,555,1053
804,3456,512,1666,1054
274,1217,1024,1725,1055
964,837,256,1810,1056
59,1306,256,1400,1057
545,2252,256,996,1058
289,3538,2048,1576,1059
289,1082,512,1915,1060
644,2351,512,754,1061
568,1590,1024,1532,1062
867,3363,4096,1008,1063
148,2892,1024,1678,1064
836,900,4096,1208,1065
225,4675,1024,1170,1066
93,3559,2048,419,1067
730,3764,256,1182,1068
883,2964,512,1658,1069
71,4755,1024,78,1070
317,2282,2048,996,1071
582,507,1024,1292,1072
478,3203,2048,1756,1073
334,3203,4096,357,1074
714,3031,256,276,1075
126,1002,1024,1037,1076
382,4721,512,850,1077
286,2269,4096,527,1078
99,3200,256,625,1079
482,1590,1024,1571,1080
625,2429,2048,722,1081
178,3023,2048,591,1082
358,1548,1024,1350,1083
275,3586,512,823,1084
277,4795,512,1253,1085
757,3304,256,161,1086
43,1110,256,1265,1087
785,3285,1024,1627,1088
687,3562,1024,1420,1089
250,4606,256,228,1090
722,1200,256,1775,1091
690,1567,2048,700,1092
850,3062,2048,440,1093
733,2458,256,1175,1094
892,1010,256,1858,1095
198,2211,512,204,1096
365,1242,4096,1209,1097
910,4966,4096,157,1098
815,3982,512,1767,1099
137,4793,2048,1601,1100
111,4559,512,405,1101
6,4201,256,483,1102
101,4937,256,961,1103
916,4166,2048,793,1104
168,722,1024,430,1105
86,2610,256,1924,1106
394,3467,512,414,1107
673,2439,512,1262,1108
929,3535,4096,190,1109
538,1522,4096,1602,1110
738,4227,1024,557,1111
736,4519,4096,1122,1112
129,1367,4096,1534,1113
795,4779,4096,605,1114
814,3690,256,633,1115
411,1502,512,1960,1116
673,2955,4096,361,1117
973,4946,256,861,1118
986,1185,1024,1650,1119
85,2763,4096,1387,1120
920,2140,256,1110,1121
134,1771,2048,1401,1122
771,844,4096,1339,1123
521,2270,2048,1945,1124
954,1184,2048,1920,1125
150,4852,4096,781,1126
892,654,256,1059,1127
240,3267,256,1450,1128
119,2968,2048,1035,1129
149,1248,2048,1454,1130
557,3632,2048,293,1131
453,1889,1024,442,1132
528,4750,1024,1411,1133
132,2494,4096,1668,1134
869,1739,2048,444,1135
909,4661,4096,952,1136
694,1000,2048,1186,1137
374,2253,256,155,1138
461,579,256,1649,1139
650,3764,2048,1970,1140
376,4645,1024,437,1141
532,637,1024,114,1142
23,2377,512,1125,1143
981,1826,4096,813,1144
731,1037,256,1799,1145
748,3315,1024,712,1146
154,2923,2048,1798,1147
880,1943,2048,509,1148
329,4466,2048,478,1149
19,4649,2048,1368,1150
23,1471,4096,1746,1151
